Recipe Title,Recipe URL
Osaka Style Savory Okonomiyaki Pancake,https://cookpad.com/eng/recipes/24610943
Crispy Takoyaki Octopus Balls with Kewpie Mayo,https://cookpad.com/eng/recipes/24600184
Katsudon - Pork Cutlet and Egg Rice Bowl,https://cookpad.com/eng/recipes/24590111
Gyudon - Japanese Beef and Onion Rice Bowl,https://cookpad.com/eng/recipes/24580222
Tonkotsu Ramen with Rich Pork Broth,https://cookpad.com/eng/recipes/24570333
Shoyu Ramen - Soy Sauce Broth Noodles,https://cookpad.com/eng/recipes/24560444
Miso Ramen with Sweet Corn and Butter,https://cookpad.com/eng/recipes/24550555
Ebi Tempura - Crispy Japanese Fried Shrimp,https://cookpad.com/eng/recipes/24540666
Yakitori Negima - Chicken Thigh and Scallion Skewers,https://cookpad.com/eng/recipes/24530777
Tamagoyaki - Japanese Rolled Omelette,https://cookpad.com/eng/recipes/24520888
Onigiri - Japanese Rice Balls with Salmon,https://cookpad.com/eng/recipes/24510999
Unadon - Grilled Eel over Steamed Rice,https://cookpad.com/eng/recipes/24501111
Sukiyaki - Sweet Soy Beef Hot Pot,https://cookpad.com/eng/recipes/24491222
Shabu-Shabu - Japanese Swish Swish Hot Pot,https://cookpad.com/eng/recipes/24481333
Agedashi Tofu - Deep Fried Tofu in Dashi Broth,https://cookpad.com/eng/recipes/24471444
Goma-ae - Japanese Spinach Salad with Sweet Sesame Dressing,https://cookpad.com/eng/recipes/24461555
Chawanmushi - Savory Japanese Egg Custard,https://cookpad.com/eng/recipes/24451666
Edamame with Sea Salt,https://cookpad.com/eng/recipes/24441777
Japanese Curry Udon,https://cookpad.com/eng/recipes/24431888
Yaki Udon - Stir Fried Udon Noodles with Pork & Veggies,https://cookpad.com/eng/recipes/24421999
Yakisoba - Japanese Stir Fried Noodles,https://cookpad.com/eng/recipes/24412111
Nikujaga - Japanese Sweet Soy Braised Beef and Potatoes,https://cookpad.com/eng/recipes/24402222
Korokke - Japanese Potato Croquettes with Minced Beef,https://cookpad.com/eng/recipes/24392333
Teriyaki Salmon with Glazed Soy Sauce,https://cookpad.com/eng/recipes/24382444
Miso Glazed Black Cod (Gindara Saikyo Yaki),https://cookpad.com/eng/recipes/24372555
Matcha Dorayaki - Japanese Red Bean Pancakes,https://cookpad.com/eng/recipes/24362666
Mochi Ice Cream - Sweet Rice Dumplings,https://cookpad.com/eng/recipes/24352777
Taiyaki - Fish Shaped Waffle with Sweet Red Bean,https://cookpad.com/eng/recipes/24342888
Japanese Egg Salad Sando,https://cookpad.com/eng/recipes/24332999
Kakiage Tempura - Crispy Mixed Vegetable & Shrimp Fritters,https://cookpad.com/eng/recipes/24323111
Kushikatsu - Osaka Deep Fried Skewered Meat and Veggies,https://cookpad.com/eng/recipes/24313222
Ebi Fry - Japanese Crispy Fried Panko Shrimp,https://cookpad.com/eng/recipes/24303333
Curry Pan - Japanese Deep Fried Curry Bread,https://cookpad.com/eng/recipes/24293444
Kakigori - Japanese Shaved Ice with Matcha and Condensed Milk,https://cookpad.com/eng/recipes/24283555
Anmitsu - Japanese Traditional Dessert Bowl,https://cookpad.com/eng/recipes/24273666
Oden - Winter Japanese Dashi Stew,https://cookpad.com/eng/recipes/24263777
Soboro Don - Ground Chicken and Scrambled Egg Rice Bowl,https://cookpad.com/eng/recipes/24253888
Ten Don - Tempura Rice Bowl with Sweet Sauce,https://cookpad.com/eng/recipes/24243999
Unagi Chazuke - Grilled Eel Rice in Green Tea Dashi,https://cookpad.com/eng/recipes/24234111
Hiyashi Chuka - Cold Summer Ramen Salad,https://cookpad.com/eng/recipes/24224222
Saba Shioyaki - Salt Grilled Mackerel,https://cookpad.com/eng/recipes/24214333
Tori Teriyaki - Glazed Chicken Teriyaki Rice Plate,https://cookpad.com/eng/recipes/24204444
Nasu Dengaku - Miso Glazed Broiled Eggplant,https://cookpad.com/eng/recipes/24194555
Kani Salad - Japanese Spicy Crab Cucumber Salad,https://cookpad.com/eng/recipes/24184666
Chashu Fried Rice (Yakimeshi),https://cookpad.com/eng/recipes/24174777
Mentaiko Pasta - Spicy Cod Roe Spaghetti,https://cookpad.com/eng/recipes/24164888
Japanese Milk Crepe Cake,https://cookpad.com/eng/recipes/24154999
Shio Ramen - Light Sea Salt Broth Noodles,https://cookpad.com/eng/recipes/24145111
Abura Soba - Soupless Oil Ramen Noodles,https://cookpad.com/eng/recipes/24135222
Tsukemen - Dipping Ramen Noodles with Rich Broth,https://cookpad.com/eng/recipes/24125333
Japanese Hamburg Curry,https://cookpad.com/eng/recipes/24115444
Tendon Tempura Rice Bowl,https://cookpad.com/eng/recipes/24105555
Kaki Fry - Japanese Deep Fried Panko Oysters,https://cookpad.com/eng/recipes/24095666
Omurice - Japanese Omelette Rice with Demi-Glace Sauce,https://cookpad.com/eng/recipes/24085777
Dashi Rolled Omelette with Cheese (Cheesy Tamagoyaki),https://cookpad.com/eng/recipes/24075888
Japanese Pickled Daikon Radish (Takuan),https://cookpad.com/eng/recipes/24065999
Salmon Teriyaki Bento Bowl,https://cookpad.com/eng/recipes/24056111
Tuna Mayo Onigiri,https://cookpad.com/eng/recipes/24046222
Umeboshi Sour Plum Onigiri,https://cookpad.com/eng/recipes/24036333
Japanese Souffle Pancakes,https://cookpad.com/eng/recipes/24026444
Matcha Ice Cream,https://cookpad.com/eng/recipes/24016555
Hojicha Latte Float,https://cookpad.com/eng/recipes/24006666
Chicken Katsu Curry,https://cookpad.com/eng/recipes/23996777
Pork Belly Kakuni - Melt in Mouth Braised Pork,https://cookpad.com/eng/recipes/23986888
Japanese Garlic Fried Rice,https://cookpad.com/eng/recipes/23976999
Wagyu Beef Yakiniku Rice Bowl,https://cookpad.com/eng/recipes/23967111
Kinoko Gohan - Japanese Mushroom Rice,https://cookpad.com/eng/recipes/23957222
Asari no Sakamushi - Clams Steamed in Sake,https://cookpad.com/eng/recipes/23947333
Japanese Chicken Sukiyaki,https://cookpad.com/eng/recipes/23937444
Torikawa - Crispy Grilled Chicken Skin Skewers,https://cookpad.com/eng/recipes/23927555
Gyu Katsu - Rare Deep Fried Beef Cutlet,https://cookpad.com/eng/recipes/23917666
Egg Ramen,https://cookpad.com/eng/recipes/23907777
