Recipe Title,Recipe URL,Ingredients
Japanese-Style Calzone with Roasted Soybeans & Curry,https://cookpad.com/eng/recipes/24751996,Ingredients Makes 2–3 calzones 【For the Dough】 200 g Bread flour (or all-purpose) 1 tsp Dry yeast (about 3g) 1 tsp Sugar 1/2 tsp Salt 1 tbsp Olive oil 120-130 ml Warm water (30–40°C) 【For the Filling】 50 g Steamed soybeans (lightly roasted) 1/4 Onion (finely chopped) 1/4 Carrot (finely chopped) 1 tsp Curry powder 1 pinch Sugar 1/4 tsp Miso (optional) 1/2 tsp Soy sauce 40-50 g Melting cheese ( mozzarella or shredded mix) 1 tsp Olive oil Salt & pepper (to taste) 【For the Dough】 200 g Bread flour (or all-purpose) 1 tsp Dry yeast (about 3g) 1 tsp Sugar 1/2 tsp Salt 1 tbsp Olive oil 120-130 ml Warm water (30–40°C) 【For the Filling】 50 g Steamed soybeans (lightly roasted) 1/4 Onion (finely chopped) 1/4 Carrot (finely chopped) 1 tsp Curry powder 1 pinch Sugar 1/4 tsp Miso (optional) 1/2 tsp Soy sauce 40-50 g Melting cheese ( mozzarella or shredded mix) 1 tsp Olive oil Salt & pepper (to taste)
Fruit Sando - Japanese Milk Bread Fruit Sandwich,https://cookpad.com/eng/recipes/24755612,Ingredients 20 minutes 4 portions 8 slices toast 250 gr whip cream 250 ml cold water 10 pcs strawberry (choose your favourite Fruit) 1 pc kiwi 5 pcs autumn seedless grapes 8 slices toast 250 gr whip cream 250 ml cold water 10 pcs strawberry (choose your favourite Fruit) 1 pc kiwi 5 pcs autumn seedless grapes
Japanese Teriyaki Chicken Pizza,https://cookpad.com/eng/recipes/24755294,"Ingredients 2 servings Prepared in advance Ayaka’s Pizza dough →id:24694745 200 g Chicken thigh 2 tbsp Soy sauce 2 tbsp Sugar 2 tbsp Sake or water 1 tbsp Oil 50 g Rice cake, diced 1 dash Shredded cheese 1 dash Nori (dried laver ), torn into small pieces As needed Mayonnaise Prepared in advance Ayaka’s Pizza dough →id:24694745 200 g Chicken thigh 2 tbsp Soy sauce 2 tbsp Sugar 2 tbsp Sake or water 1 tbsp Oil 50 g Rice cake, diced 1 dash Shredded cheese 1 dash Nori (dried laver ), torn into small pieces As needed Mayonnaise"
Japanese Smashed Cucumber with Umeboshi,https://cookpad.com/eng/recipes/24753170,"Ingredients Prep 5 min 2 cucumbers (about 250g) 2 umeboshi (Japanese pickled plums, preferably low-salt) ★1 tsp sesame oil ★1 tsp sugar ★1 tsp soy sauce ★1/2 tsp dashi powder (or liquid dashi) 1 pinch salt (for salting the cucumber ) 2 cucumbers (about 250g) 2 umeboshi (Japanese pickled plums, preferably low-salt) ★1 tsp sesame oil ★1 tsp sugar ★1 tsp soy sauce ★1/2 tsp dashi powder (or liquid dashi) 1 pinch salt (for salting the cucumber )"
Japanese and Korean style snack pizza,https://cookpad.com/eng/recipes/24750381,Ingredients 16 gyoza (Dumpling) skins 120 g Shredded Mozzarella Cheese Japanese pizza sauce 30 g tomato paste 5 g Miso Wasabi as you like Japanese style topping 50 g chopped white onion 50 g shiitake mushrooms 3 shiso leaves 20 g pickled eggplants Korian pizza sauce 30 g tomato paste 5 g gochujang 5 g doubanjiang (Chinese hot sauce ) Korian style topping 3 chives 30 g Kimchi toasted sesame seeds as you like Korean nori seaweed 16 gyoza (Dumpling) skins 120 g Shredded Mozzarella Cheese Japanese pizza sauce 30 g tomato paste 5 g Miso Wasabi as you like Japanese style topping 50 g chopped white onion 50 g shiitake mushrooms 3 shiso leaves 20 g pickled eggplants Korian pizza sauce 30 g tomato paste 5 g gochujang 5 g doubanjiang (Chinese hot sauce ) Korian style topping 3 chives 30 g Kimchi toasted sesame seeds as you like Korean nori seaweed
Japanese Creamy Potato Salad,https://cookpad.com/eng/recipes/24660863,Ingredients 45 mins 8 servings 2 Large potatoes 1 Carrot 1/4 Sweet Onion 1 Persian Cucumber 2 Eggs 1/4 Cup Kewpie Mayo 2 Tablespoons Rice Vinegar Salt to taste 2 Large potatoes 1 Carrot 1/4 Sweet Onion 1 Persian Cucumber 2 Eggs 1/4 Cup Kewpie Mayo 2 Tablespoons Rice Vinegar Salt to taste
Japanese Napolitan Ketchup Spaghetti Pasta,https://cookpad.com/eng/recipes/24727616,Ingredients 1h 2 servings 100 g spaghetti 2-3 sausages 1/4 onion 1/4 green pepper 1/4 carrot sauce 1 tsp soy sauce 3 tbsp ketchup 100 g spaghetti 2-3 sausages 1/4 onion 1/4 green pepper 1/4 carrot sauce 1 tsp soy sauce 3 tbsp ketchup
Oyakodon (Japanese Chicken and Egg Rice Bowl),https://cookpad.com/eng/recipes/24707794,Ingredients 20 min 2 people Chicken thigh (220g) 4 Egg Small 1 Onion ★2 Soy sauce … ★2 tbsp Sake ★2 tbsp Mirin ★2 tsp Sugar ★1/4 cup Water Chicken thigh (220g) 4 Egg Small 1 Onion ★2 Soy sauce … ★2 tbsp Sake ★2 tbsp Mirin ★2 tsp Sugar ★1/4 cup Water
Chashu pork (Japanese braised pork belly),https://cookpad.com/eng/recipes/24707630,Ingredients 60 min 4 people Pork shoulder (850g) 1 cup water 1/2 cup soy sauce 1/2 cup sake 1/4 cup sugar Garlic Green part of a leek Pork shoulder (850g) 1 cup water 1/2 cup soy sauce 1/2 cup sake 1/4 cup sugar Garlic Green part of a leek
Japanese Curry using Curry Roux mix,https://cookpad.com/eng/recipes/24692701,"Ingredients 60 min 4 people 1/2 box Japanese curry roux (about 90–100g) 2 onions (sliced) 1 carrot (cut into chunks) 2 potatoes (cut into chunks) 300 –400g meat ( beef , chicken , pork , or ground meat ) Water (check the curry box for exact amount) 1 tbsp cooking oil ( vegetable oil or sesame oil ) 1/2 box Japanese curry roux (about 90–100g) 2 onions (sliced) 1 carrot (cut into chunks) 2 potatoes (cut into chunks) 300 –400g meat ( beef , chicken , pork , or ground meat ) Water (check the curry box for exact amount) 1 tbsp cooking oil ( vegetable oil or sesame oil )"
Japanese Mashed Cucumber Salad with Sesame,https://cookpad.com/eng/recipes/24692676,Ingredients prep 5 min 2 people 3 cucumber (260g) Salt ★1 tbsp sesame oil ★1 tsp vinegar ★1 tsp soy sauce ★1/4 tsp sugar Sesame seeds (optional) 3 cucumber (260g) Salt ★1 tbsp sesame oil ★1 tsp vinegar ★1 tsp soy sauce ★1/4 tsp sugar Sesame seeds (optional)
Karaage - Crispy Japanese Fried Chicken,https://cookpad.com/eng/recipes/24679584,"Ingredients 30 min Boneless , skinless chicken thighs (cut into bite-sized pieces) ★2 tbsp Soy sauce ★1 tbsp Sake ★1 tbsp Mirin ★1 tsp Salt ★Grated ginger… 1 clove (optional) ★Grated garlic… 1 clove (optional) as needed All-purpose flour as needed Potato starch (or cornstarch ) Spray Cooking oil (for the tray) Black pepper or lemon juice … to taste (optional) Boneless , skinless chicken thighs (cut into bite-sized pieces) ★2 tbsp Soy sauce ★1 tbsp Sake ★1 tbsp Mirin ★1 tsp Salt ★Grated ginger… 1 clove (optional) ★Grated garlic… 1 clove (optional) as needed All-purpose flour as needed Potato starch (or cornstarch ) Spray Cooking oil (for the tray) Black pepper or lemon juice … to taste (optional)"
Japanese Tuna Poke Rice Bowl,https://cookpad.com/eng/recipes/24664333,Ingredients prep 5 mins 2 people 1 pound Sashimi grade Tuna ★1 tbsp mirin ★1 tbsp sake ★2 tbsp soy sauce 1 pound Sashimi grade Tuna ★1 tbsp mirin ★1 tbsp sake ★2 tbsp soy sauce
Classic Japanese Beef & Potato Curry,https://cookpad.com/eng/recipes/24661034,Ingredients 30 mins 4 servings 1 lb pork shoulder 3 garlic cloves 1 tbsp minced ginger 1 chopped yellow onion 2 cups chopped carrots 2 cups chopped yellow potatoes 1 tbsp soy sauce 1 tsp salt 4 cups chicken broth 6 cubed golden curry roux 1 lb pork shoulder 3 garlic cloves 1 tbsp minced ginger 1 chopped yellow onion 2 cups chopped carrots 2 cups chopped yellow potatoes 1 tbsp soy sauce 1 tsp salt 4 cups chicken broth 6 cubed golden curry roux
Tonkatsu - Crispy Japanese Pork Cutlet,https://cookpad.com/eng/recipes/24650123,pork loin chops salt black pepper flour egg panko breadcrumbs cabbage tonkatsu sauce
Miso Soup with Silken Tofu & Wakame,https://cookpad.com/eng/recipes/24640192,dashi soup stock awase miso paste silken tofu dried wakame seaweed chopped scallions green onions
Kitsune Udon with Sweet Fried Tofu,https://cookpad.com/eng/recipes/24630841,sanuki udon noodles dashi broth soy sauce mirin aburaage seasoned fried tofu green onion kamaboko fish cake
Zaru Soba - Chilled Buckwheat Noodles,https://cookpad.com/eng/recipes/24620199,buckwheat soba noodles mentsuyu dipping sauce wasabi grated daikon radish green onion nori seaweed shreds
Osaka Style Savory Okonomiyaki Pancake,https://cookpad.com/eng/recipes/24610943,shredded cabbage okonomiyaki flour nagaimo yam dashi egg pork belly slices okonomiyaki sauce kewpie mayo bonito flakes aonori
Crispy Takoyaki Octopus Balls with Kewpie Mayo,https://cookpad.com/eng/recipes/24600184,boiled octopus dashi batter flour egg pickled red ginger tenkasu tempura scraps green onion takoyaki sauce kewpie mayo bonito flakes aonori
Katsudon - Pork Cutlet and Egg Rice Bowl,https://cookpad.com/eng/recipes/24590111,tonkatsu pork cutlet eggs sliced onion dashi broth soy sauce mirin sugar steamed white rice mitsuba
Gyudon - Japanese Beef and Onion Rice Bowl,https://cookpad.com/eng/recipes/24580222,thinly sliced beef ribeye yellow onion dashi stock soy sauce sake mirin sugar pickled red ginger beni shoga steamed rice
Tonkotsu Ramen with Rich Pork Broth,https://cookpad.com/eng/recipes/24570333,fresh ramen noodles tonkotsu pork bone broth chashu pork belly soft boiled ajitsuke egg menma bamboo shoots wood ear mushrooms green onions black garlic oil
Shoyu Ramen - Soy Sauce Broth Noodles,https://cookpad.com/eng/recipes/24560444,ramen noodles chicken and dashi broth shoyu tare soy sauce chashu pork narutomaki fish cake nori green onions soft boiled egg
Miso Ramen with Sweet Corn and Butter,https://cookpad.com/eng/recipes/24550555,ramen noodles rich miso pork broth garlic ground pork bean sprouts sweet corn pat of butter green onions chili oil
Ebi Tempura - Crispy Japanese Fried Shrimp,https://cookpad.com/eng/recipes/24540666,black tiger shrimp tempura flour ice cold water egg tempura dipping sauce mentsuyu grated ginger grated daikon radish frying oil
Yakitori Negima - Chicken Thigh and Scallion Skewers,https://cookpad.com/eng/recipes/24530777,chicken thigh scallion stalks tare sauce soy sauce sake mirin brown sugar bamboo skewers
Tamagoyaki - Japanese Rolled Omelette,https://cookpad.com/eng/recipes/24520888,eggs dashi stock sugar soy sauce mirin vegetable oil grated daikon radish
Onigiri - Japanese Rice Balls with Salmon,https://cookpad.com/eng/recipes/24510999,steamed japanese short-grain rice grilled salted salmon furikake seasoning toasted nori seaweed sheet salt
Unadon - Grilled Eel over Steamed Rice,https://cookpad.com/eng/recipes/24501111,unagi kabayaki eel unagi tare sauce soy sauce mirin sugar sake sansho japanese pepper steamed white rice
Sukiyaki - Sweet Soy Beef Hot Pot,https://cookpad.com/eng/recipes/24491222,thinly sliced marbled beef tofu shirataki konjac noodles napa cabbage enoki mushrooms shiitake mushrooms leek soy sauce mirin sugar sake raw egg dip
Shabu-Shabu - Japanese Swish Swish Hot Pot,https://cookpad.com/eng/recipes/24481333,thinly sliced beef kombu kelp dashi water napa cabbage enoki mushrooms tofu udon noodles ponzu citrus sauce sesame gomadare sauce
Agedashi Tofu - Deep Fried Tofu in Dashi Broth,https://cookpad.com/eng/recipes/24471444,medium firm cotton tofu potato starch cornstarch dashi broth soy sauce mirin grated daikon ginger green onion bonito flakes katsuobushi
Goma-ae - Japanese Spinach Salad with Sweet Sesame Dressing,https://cookpad.com/eng/recipes/24461555,fresh baby spinach toasted white sesame seeds soy sauce sugar mirin dashi salt
Chawanmushi - Savory Japanese Egg Custard,https://cookpad.com/eng/recipes/24451666,eggs dashi broth chicken breast shrimp shiitake mushroom ginkgo nuts mitsuba soy sauce mirin salt
Edamame with Sea Salt,https://cookpad.com/eng/recipes/24441777,fresh or frozen edamame soybean pods boiling water coarse coarse sea salt
Japanese Curry Udon,https://cookpad.com/eng/recipes/24431888,udon noodles leftover japanese curry dashi stock soy sauce mirin thinly sliced beef or chicken green onion
Yaki Udon - Stir Fried Udon Noodles with Pork & Veggies,https://cookpad.com/eng/recipes/24421999,thick udon noodles thinly sliced pork belly cabbage carrot onion scallions soy sauce mirin dashi powder bonito flakes aonori pickled ginger
Yakisoba - Japanese Stir Fried Noodles,https://cookpad.com/eng/recipes/24412111,yakisoba noodles pork belly cabbage carrot bean sprouts yakisoba sauce kewpie mayonnaise aonori pickled red ginger
Nikujaga - Japanese Sweet Soy Braised Beef and Potatoes,https://cookpad.com/eng/recipes/24402222,thinly sliced beef potatoes onion carrot shirataki noodles dashi stock soy sauce sake mirin sugar snow peas
Korokke - Japanese Potato Croquettes with Minced Beef,https://cookpad.com/eng/recipes/24392333,russet potatoes ground beef minced yellow onion butter salt black pepper flour egg panko breadcrumbs tonkatsu sauce
Teriyaki Salmon with Glazed Soy Sauce,https://cookpad.com/eng/recipes/24382444,fresh salmon fillets soy sauce mirin sake sugar ginger juice sesame seeds steamed jasmine rice broccoli
Miso Glazed Black Cod (Gindara Saikyo Yaki),https://cookpad.com/eng/recipes/24372555,black cod fillets saikyo sweet white miso mirin sake granulated sugar soy sauce
Matcha Dorayaki - Japanese Red Bean Pancakes,https://cookpad.com/eng/recipes/24362666,flour matcha green tea powder eggs sugar honey mirin baking soda sweet azuki red bean paste anko
Mochi Ice Cream - Sweet Rice Dumplings,https://cookpad.com/eng/recipes/24352777,mochiko sweet glutinous rice flour sugar water cornstarch vanilla matcha green tea strawberry ice cream scoops
Taiyaki - Fish Shaped Waffle with Sweet Red Bean,https://cookpad.com/eng/recipes/24342888,cake flour baking powder sugar egg milk sweet red bean paste anko custard cream taiyaki mold
Japanese Egg Salad Sando,https://cookpad.com/eng/recipes/24332999,hard boiled eggs kewpie japanese mayonnaise splash of milk pinch of sugar salt white pepper soft shokupan milk bread salted butter
Kakiage Tempura - Crispy Mixed Vegetable & Shrimp Fritters,https://cookpad.com/eng/recipes/24323111,small shrimp onion carrot mitsuba burdock root tempura flour ice water frying oil mentsuyu sauce
Kushikatsu - Osaka Deep Fried Skewered Meat and Veggies,https://cookpad.com/eng/recipes/24313222,pork loin onion lotus root quail eggs panko breadcrumbs flour egg batter kushikatsu dipping sauce cabbage leaves
Ebi Fry - Japanese Crispy Fried Panko Shrimp,https://cookpad.com/eng/recipes/24303333,large shrimp black pepper salt flour beaten egg panko breadcrumbs tartar sauce lemon wedges shredded cabbage
Curry Pan - Japanese Deep Fried Curry Bread,https://cookpad.com/eng/recipes/24293444,bread dough thick cooked japanese curry filling egg panko breadcrumbs frying oil
Kakigori - Japanese Shaved Ice with Matcha and Condensed Milk,https://cookpad.com/eng/recipes/24283555,finely shaved ice matcha green tea syrup sweetened condensed milk sweet red bean paste anko shiratama dango mochi
Anmitsu - Japanese Traditional Dessert Bowl,https://cookpad.com/eng/recipes/24273666,agar-agar kanten jelly cubes sweet azuki red bean paste shiratama dango canned fruit mandarin orange kuromitsu black sugar syrup
Oden - Winter Japanese Dashi Stew,https://cookpad.com/eng/recipes/24263777,daikon radish boiled eggs konjac chikuwa fish cakes hanpen fried tofu mochi kinchaku dashi broth soy sauce mirin karashi yellow mustard
Soboro Don - Ground Chicken and Scrambled Egg Rice Bowl,https://cookpad.com/eng/recipes/24253888,ground chicken soy sauce sake mirin sugar ginger scrambled eggs green peas snow peas steamed rice
Ten Don - Tempura Rice Bowl with Sweet Sauce,https://cookpad.com/eng/recipes/24243999,crispy shrimp tempura eggplant sweet potato nori tempura tentsuyu sweet glaze sauce soy sauce dashi sugar steamed rice
Unagi Chazuke - Grilled Eel Rice in Green Tea Dashi,https://cookpad.com/eng/recipes/24234111,grilled unagi eel steamed rice hot green tea dashi broth wasabi chopped nori scallions toasted sesame seeds
Hiyashi Chuka - Cold Summer Ramen Salad,https://cookpad.com/eng/recipes/24224222,chilled ramen noodles sliced ham shredded egg omelet kinshi tamago cucumber strips imitation crab tomatoes sesame soy sauce vinegar dressing
Saba Shioyaki - Salt Grilled Mackerel,https://cookpad.com/eng/recipes/24214333,fresh mackerel fillets sea salt grated daikon radish lemon wedge soy sauce steamed white rice
Tori Teriyaki - Glazed Chicken Teriyaki Rice Plate,https://cookpad.com/eng/recipes/24204444,chicken thigh fillets soy sauce mirin sake sugar sesame seeds steamed broccoli rice
Nasu Dengaku - Miso Glazed Broiled Eggplant,https://cookpad.com/eng/recipes/24194555,japanese round eggplant red miso paste mirin sake sugar sesame oil toasted white sesame seeds
Kani Salad - Japanese Spicy Crab Cucumber Salad,https://cookpad.com/eng/recipes/24184666,imitation crab meat cucumber shreds carrot panko kewpie mayonnaise sriracha sauce tobiko flying fish roe
Chashu Fried Rice (Yakimeshi),https://cookpad.com/eng/recipes/24174777,cooked day-old rice diced chashu pork belly eggs chopped scallions green onions soy sauce sesame oil salt white pepper
Mentaiko Pasta - Spicy Cod Roe Spaghetti,https://cookpad.com/eng/recipes/24164888,spaghetti pasta spicy mentaiko pollock roe butter heavy cream soy sauce shredded nori seaweed mitsuba
Japanese Milk Crepe Cake,https://cookpad.com/eng/recipes/24154999,thin crepe layers flour milk eggs butter sugar vanilla fresh whipped cream powdered sugar
Shio Ramen - Light Sea Salt Broth Noodles,https://cookpad.com/eng/recipes/24145111,ramen noodles clear chicken dashi broth sea salt shio tare chashu menma green onion soft boiled egg
Abura Soba - Soupless Oil Ramen Noodles,https://cookpad.com/eng/recipes/24135222,thick ramen noodles pork oil soy tare sauce vinegar chili rayu oil chashu raw egg yolk green onions minced garlic menma
Tsukemen - Dipping Ramen Noodles with Rich Broth,https://cookpad.com/eng/recipes/24125333,chilled extra thick ramen noodles ultra rich concentrated pork seafood dashi dipping soup chashu nori lime wedge scallions
Japanese Hamburg Curry,https://cookpad.com/eng/recipes/24115444,juicy beef and pork hamburg steak japanese curry sauce steamed white rice fried egg melted cheese
Tendon Tempura Rice Bowl,https://cookpad.com/eng/recipes/24105555,crispy tempura shrimp pumpkin green beans sweet dashi soy tare sauce steamed white rice
Kaki Fry - Japanese Deep Fried Panko Oysters,https://cookpad.com/eng/recipes/24095666,fresh oysters flour egg panko breadcrumbs frying oil japanese tartar sauce lemon wedges
Omurice - Japanese Omelette Rice with Demi-Glace Sauce,https://cookpad.com/eng/recipes/24085777,ketchup chicken fried rice fluffy soft scrambled egg omelette demi-glace or tomato sauce fresh parsley
Dashi Rolled Omelette with Cheese (Cheesy Tamagoyaki),https://cookpad.com/eng/recipes/24075888,eggs dashi broth soy sauce mirin mozzarella cheese nori flakes
Japanese Pickled Daikon Radish (Takuan),https://cookpad.com/eng/recipes/24065999,daikon radish rice vinegar sugar sea salt turmeric powder water
Salmon Teriyaki Bento Bowl,https://cookpad.com/eng/recipes/24056111,pan seared salmon fillet teriyaki glaze sauce steamed edamame tamagoyaki rolled egg pickled ginger steamed rice
Tuna Mayo Onigiri,https://cookpad.com/eng/recipes/24046222,canned tuna kewpie japanese mayonnaise soy sauce salt steamed short-grain rice crispy nori sheet
Umeboshi Sour Plum Onigiri,https://cookpad.com/eng/recipes/24036333,pickled sour umeboshi plum steamed short-grain rice sea salt crispy toasted nori sheet
Japanese Souffle Pancakes,https://cookpad.com/eng/recipes/24026444,egg whites sugar egg yolks milk cake flour baking powder vanilla butter maple syrup whipped cream
Matcha Ice Cream,https://cookpad.com/eng/recipes/24016555,ceremonial grade matcha powder heavy cream whole milk sugar egg yolks vanilla
Hojicha Latte Float,https://cookpad.com/eng/recipes/24006666,roasted green tea hojicha leaves hot water whole milk simple syrup vanilla ice cream scoop
Chicken Katsu Curry,https://cookpad.com/eng/recipes/23996777,crispy panko breaded chicken breast cutlet japanese brown curry sauce carrots potatoes steamed rice fukujinzuke pickles
Pork Belly Kakuni - Melt in Mouth Braised Pork,https://cookpad.com/eng/recipes/23986888,thick pork belly cubes daikon radish ginger scallions dashi soy sauce mirin sake rock sugar boiled eggs karashi mustard
Japanese Garlic Fried Rice,https://cookpad.com/eng/recipes/23976999,day old white rice crispy garlic chips minced garlic butter soy sauce green onions salt black pepper
Wagyu Beef Yakiniku Rice Bowl,https://cookpad.com/eng/recipes/23967111,grilled a5 wagyu beef slices yakiniku dipping sauce soy sauce mirin garlic sesame oil toasted sesame seeds green onion steamed rice
